Universally Accessible Playgrounds,Orthopaedic Hospital Universal Access Playground,http://www.laparks.org/dos/playground/facility/orthoUAPk.htm,34.027994,-118.273605
Parks,Westwood Park,http://www.laparks.org/dos/reccenter/facility/westwoodRC.htm,34.053257,-118.448297
Parks,Griffith Park - Pollywog Area,,34.156427,-118.317609
Recreation Centers,Victory Valley Youth Center,http://www.laparks.org/dos/reccenter/facility/valleyPlazaRC.htm,34.18758094,-118.3998795
Parks,Mcgroarty Cultural Art Center,http://www.laparks.org/dos/parks/facility/mcGroartyPk.htm,34.250876,-118.297399
Parks,Van Nuys Sherman Oaks Park,http://www.laparks.org/dos/reccenter/facility/vanNuysSORC.htm,34.15952933,-118.4425227
Parks,Everett Triangle Park,http://www.laparks.org/dos/parks/facility/everettPk.htm,34.070201,-118.248722
Parks,Griffith Park - Easter Field,http://www.laparks.org/dos/parks/griffithpk/,34.15857872,-118.3029327
Recreation Centers,Poinsettia Recreation Center,http://www.laparks.org/dos/reccenter/facility/poinsettiaRC.htm,34.087752,-118.350031
Tennis Courts,Ralph C. Daniels Field Tennis Courts,http://www.laparks.org/dos/reccenter/facility/danFharSC.htm,33.732934,-118.296371
Parks,Pan Pacific Park - Renee's Place,http://www.laparks.org/dos/playground/facility/panPacificUAPPk.htm,34.07487935,-118.3549473

Golf Courses,Rancho Park 3-Par Golf Course,http://golf.lacity.org/cdp_rancho_p3.htm,34.04737,-118.414689
Parks,Whitsett Fields Park,http://www.laparks.org/dos/parks/facility/whitsettFieldsPk.htm,34.198513,-118.404992
Skate Parks,Lanark Skate Plaza,http://www.laparks.org/dos/reccenter/facility/lanarkRC.htm,34.21743314,-118.6038772
Parks,De Neve Square Park,http://www.laparks.org/dos/parks/facility/deNeveSquPk.htm,34.08425,-118.43496
Tennis Courts,Poinsettia Tennis Courts,http://www.laparks.org/dos/reccenter/facility/poinsettiaRC.htm,34.088311,-118.348969
Parks,Mandeville Canyon Park,http://www.laparks.org/dos/parks/facility/mandevilleCanyonPk.htm,34.085468,-118.509006
Parks,East Los Angeles Park,http://www.laparks.org/dos/parks/facility/eastLAPk.htm,34.07714,-118.20731
Recreation Centers,Branford Recreation Center,http://www.laparks.org/dos/reccenter/facility/branfordRC.htm,34.23337931,-118.4232809
Parks,Valley Glen Community Park,http://www.laparks.org/dos/parks/facility/valleyGlenPk.htm,34.182953,-118.418285
Recreation Centers,Hubert H. Humphrey Recreation Center,http://www.laparks.org/dos/reccenter/facility/huberthumphreyRC.htm,34.28181122,-118.4074686
Recreation Centers,Imperial Courts Recreation Center,http://www.laparks.org/dos/reccenter/facility/imperialcourtsRC.htm,33.93125654,-118.2324199
